Time [Hr:Min:Sec],Neph [ug/cm^3]
14:33:20,112.469
14:33:30,112.669
14:33:40,115.456
14:33:50,124.019
14:34:00,92.324
14:34:10,83.659
14:34:20,123.963
14:34:30,104.07
14:34:40,98.072
14:34:50,129.802
14:35:00,115.405
14:35:10,129.946
14:35:20,124.06
14:35:30,127.058
14:35:40,103.899
14:35:50,127.03
14:36:00,144.224
14:36:10,135.616
14:36:20,118.25
14:36:30,115.456
14:36:40,106.88
14:36:50,147.109
14:37:00,158.77
14:37:10,112.632
14:37:20,138.624
14:37:30,89.528
14:37:40,89.409
14:37:50,72.088
14:38:00,80.864
14:38:10,80.846
14:38:20,98.181
14:38:30,115.156
14:38:40,106.797
14:38:50,135.571
14:39:00,133.57
14:39:10,126.931
14:39:20,92.365
14:39:30,77.881
14:39:40,80.864
14:39:50,89.399
14:40:00,98.028
14:40:10,100.889
14:40:20,121.216
14:40:30,89.528
14:40:40,77.855
14:40:50,101.058
14:41:00,89.518
14:41:10,77.942
14:41:20,74.971
14:41:30,83.641
14:41:40,80.756
14:41:50,112.545
14:42:00,103.853
14:42:10,100.946
14:42:20,86.573
14:42:30,86.602
14:42:40,106.69
14:42:50,129.946
14:43:00,100.9
14:43:10,92.209
14:43:20,98.05
14:43:30,138.594
14:43:40,112.457
14:43:50,112.595
14:44:00,124.033
14:44:10,141.292
14:44:20,103.911
14:44:30,124.198
14:44:40,153.064
14:44:50,164.304
14:45:00,130.045
14:45:10,109.635
14:45:20,92.283
14:45:30,103.957
14:45:40,121.269
14:45:50,126.889
14:46:00,135.706
14:46:10,95.304
14:46:20,135.616
14:46:30,106.678
14:46:40,132.745
14:46:50,124.088
14:47:00,72.168
14:47:10,37.494
14:47:20,37.49
14:47:30,161.495
14:47:40,115.469
14:47:50,135.51
14:48:00,103.853
14:48:10,112.607
14:48:20,72.144
14:48:30,86.592
14:48:40,34.602
14:48:50,129.874
14:49:00,135.54
14:49:10,92.283
14:49:20,181.64
14:49:30,193.217
14:49:40,109.573
14:49:50,132.566
14:50:00,121.309
14:50:10,28.842
14:50:20,46.099
14:50:30,57.657
14:50:40,72.088
14:50:50,141.434
14:51:00,121.296
14:51:10,66.402
14:51:20,60.526
14:51:30,63.444
14:51:40,40.342
14:51:50,51.903
14:52:00,51.932
14:52:10,54.756
14:52:20,40.414
14:52:30,60.621
14:52:40,49.02
14:52:50,49.025
14:53:00,40.342
14:53:10,54.848
14:53:20,57.637
14:53:30,49.08
14:53:40,37.494
14:53:50,51.967
14:54:00,40.319
14:54:10,49.074
14:54:20,40.383
14:54:30,46.152
14:54:40,43.253
14:54:50,46.203
14:55:00,37.464
14:55:10,34.629
14:55:20,28.832
14:55:30,28.838
14:55:40,40.419
14:55:50,37.481
14:56:00,43.301
14:56:10,40.369
14:56:20,46.172
14:56:30,51.886
14:56:40,31.754
14:56:50,46.094
14:57:00,34.598
14:57:10,40.351
14:57:20,37.481
14:57:30,28.835
14:57:40,31.715
14:57:50,37.481
14:58:00,51.874
14:58:10,28.87
14:58:20,28.838
14:58:30,34.633
14:58:40,37.515
14:58:50,34.648
14:59:00,25.969
14:59:10,31.715
14:59:20,25.963
14:59:30,25.957
14:59:40,37.273
14:59:50,34.629
15:00:00,25.949
15:00:10,23.052
15:00:20,28.838
15:00:30,17.297
15:00:40,17.299
15:00:50,25.952
15:01:00,34.586
15:01:10,28.832
15:01:20,23.086
15:01:30,23.047
15:01:40,20.182
15:01:50,23.094
15:02:00,25.949
15:02:10,23.096
15:02:20,28.861
15:02:30,17.291
15:02:40,31.74
15:02:50,23.073
15:03:00,25.952
15:03:10,23.099
15:03:20,23.044
15:03:30,14.432
15:03:40,17.297
15:03:50,23.094
15:04:00,14.435
15:04:10,20.295
15:04:20,23.071
15:04:30,17.135
15:04:40,20.205
15:04:50,32.015
15:05:00,20.187
15:05:10,28.845
15:05:20,37.486
15:05:30,17.322
15:05:40,23.065
15:05:50,23.055
15:06:00,25.978
15:06:10,25.966
15:06:20,40.387
15:06:30,25.954
15:06:40,25.986
15:06:50,20.178
15:07:00,28.861
15:07:10,28.861
15:07:20,23.065
15:07:30,37.498
15:07:40,20.189
15:07:50,25.963
15:08:00,31.697
15:08:10,20.2
15:08:20,23.065
15:08:30,28.819
15:08:40,25.952
15:08:50,31.719
15:09:00,28.835
15:09:10,25.943
15:09:20,23.044
15:09:30,25.94
15:09:40,23.063
15:09:50,23.073
15:10:00,23.081
15:10:10,28.948
15:10:20,31.722
15:10:30,34.563
15:10:40,23.063
15:10:50,25.94
15:11:00,40.387
15:11:10,40.387
15:11:20,43.238
15:11:30,31.704
15:11:40,28.854
15:11:50,25.978
15:12:00,23.055
15:12:10,28.854
15:12:20,23.05
15:12:30,25.937
15:12:40,25.922
15:12:50,20.371
15:13:00,28.835
15:13:10,25.937
15:13:20,28.806
15:13:30,28.825
15:13:40,23.268
15:13:50,23.042
15:14:00,34.579
15:14:10,34.633
15:14:20,37.515
15:14:30,28.835
15:14:40,28.822
15:14:50,31.74
15:15:00,28.822
15:15:10,25.928
15:15:20,28.874
15:15:30,28.858
15:15:40,37.515
15:15:50,31.751
